nruf2,ppgf2,dcfsn,pyear,total,nr_score,pol_score,le_score,pop_score,nr_remaining_pct,max_pol,le_late,pop_2100_B,crash_ratio
0.5,0.5,2.0,1985,0.7011786729649836,0.8541270914357668,0.6470766232896668,1.0,0.05407469317043422,25.623812743073003,4.1175402602619995,77.20751060840422,0.6058888426182897,0.35699415052276384
0.1,0.1,2.0,1995,0.7011269749652507,1.0,0.47496997693812526,1.0,0.057573212558753854,49.17360374841505,5.150180138371248,77.29967764763221,0.6231286321865627,0.36957513800467845
0.2,0.1,2.0,1995,0.7010841327189182,1.0,0.4749703455654184,1.0,0.05728686032861825,41.3223383003081,5.15017792660749,77.3173014565931,0.6216602533649379,0.3686055849222113
0.25,0.1,2.0,1995,0.7010383362622533,1.0,0.47497052995990885,1.0,0.056981181828537994,37.534460500593184,5.150176820240547,77.33786471338945,0.6201265431872469,0.36754551118340084
0.1,0.15,2.0,1995,0.7003704704839393,1.0,0.4724580725470169,1.0,0.05755365813222856,49.173452553176446,5.165251564717899,77.28638992528325,0.6230215979279127,0.36951308477037975
0.2,0.15,2.0,1995,0.7003284106048263,1.0,0.4724589059619434,1.0,0.05727159210828865,41.32111423565917,5.165246564228339,77.30358546974078,0.621574966754226,0.3685579064250452
0.25,0.15,2.0,1995,0.7002829686977854,1.0,0.47245932287933723,1.0,0.05696781222656095,37.53176286221773,5.165244062723977,77.3248016137634,0.6200482884679639,0.36750564938946245
0.1,0.15,4.0,1985,0.7000000000000001,1.0,0.0,1.0,1.0,37.327917086451876,9.37954242512787,66.92677453575236,10.83874710620893,1.0
0.1,0.5,4.0,2015,0.7000000000000001,1.0,0.0,1.0,1.0,30.25908785697221,9.398471107251217,60.450950060573156,9.498122022089756,1.0
0.1,0.15,4.0,1975,0.7000000000000001,1.0,0.0,1.0,1.0,41.819438057956944,10.097532393818428,65.88770807353652,10.74192318129617,1.0
0.1,0.25,4.0,1995,0.7000000000000001,1.0,0.0,1.0,1.0,33.04063915246835,15.980819185139845,67.22103978987005,10.715819618218287,1.0
0.1,0.25,4.0,1985,0.7000000000000001,1.0,0.0,1.0,1.0,38.51171665640522,19.63344117913498,64.98990913384077,10.525889764417455,1.0
0.1,0.25,4.0,1975,0.7000000000000001,1.0,0.0,1.0,1.0,43.17523880768111,21.2788095196805,63.58112539333444,10.380014270431385,1.0
0.1,0.25,4.0,2005,0.6987612867627906,0.9964608193222587,0.0,1.0,1.0,29.89382457966776,9.477003106252491,69.17405756255545,10.742230368520536,1.0
0.1,0.25,2.0,1995,0.698655987441011,1.0,0.46676249764172917,1.0,0.05751492098994818,49.173078729964296,5.199425014149625,77.2593856356639,0.6228090302351925,0.369390411492452
